filename,size_bytes,sha256
dnsmasq-full_2.90-r4_arm_cortex-a7_neon-vfpv4.ipk,199497,8b1757cf6568bc44a7fefd066c7f22f9ea031ed23ddb6495ecacbaee9b8370db
dos2unix_7.5.2-r1_arm_cortex-a7_neon-vfpv4.ipk,15574,a520e1ef3c064d5dbe46928839195321d282f35d520be81abec4c7c65c047c15
geoview_0.1.10-r1_arm_cortex-a7_neon-vfpv4.ipk,2380269,1e92370a033077c50afe8bce4b13651a00f71ba931d435eb6e22121876de7723
kmod-ipt-nat_6.6.93-r1_arm_cortex-a7_neon-vfpv4.ipk,5977,c3bd10525a9be79268f504a5a946e73b6377753483955a1aa3b08288ab020936
kmod-nft-socket_6.6.93-r1_arm_cortex-a7_neon-vfpv4.ipk,3694,43e5986ff7f338ddd8179d2533460dc75b0bc51983a81cf021d282dae95e4f62
kmod-nft-tproxy_6.6.93-r1_arm_cortex-a7_neon-vfpv4.ipk,3742,b65600cd9180962b7142122d893ee31c31b6fcdfd37f96b0e935f93e6a797d12
libjson-c5_0.18-r1_arm_cortex-a7_neon-vfpv4.ipk,25711,7dc895f50bf4108c816d13043afd802acf17819e79424a183f1164e50a5f6945
libopenssl3_3.0.17-r1_arm_cortex-a7_neon-vfpv4.ipk,1499285,97157be76500a2af5e6297af57fa7d177b3ff094185cbfe7553b789473a1c737
libpcre2_10.42-r1_arm_cortex-a7_neon-vfpv4.ipk,179914,db72f52e31329d9652cbb693ecd31614f72961047fd6a9d15daee322684b2347
luci-app-passwall2_25.8.22-r1_all.ipk,266052,e4a6472e3815a67dbef179b42a355db87db40bac0a08ce2be4353f5fdff5f109
tcping_0.3-r1_arm_cortex-a7_neon-vfpv4.ipk,4193,bf5ba5f0d7333d9560a30dd2a71f1a032b152f8a775bd17768f330fb862f6d1d
v2ray-geoip_202507310022.1_all.ipk,4293249,ceca1b0c4e348392cffe4cbe5a0f815a3c8c95610fafce3704c6c19b1c4fd192
v2ray-geosite_20250627153051-r1_all.ipk,664182,3d3170a17dbfec057090852dd4a022cababc9d698f85306fa860840c3d22d446
v2ray-geosite-ir_202506300044-r1_all.ipk,1054880,d6c7ef057d3842a0718a55bf685ba284ee45b59a33a85d2e7df4cda824852d69
wget-ssl_1.24.5-r1_arm_cortex-a7_neon-vfpv4.ipk,200779,748395f730657027c3d161d7ac22c30076bb897ed8e023af2b2b753b7f1b1def
xray-core_25.8.3-r1_arm_cortex-a7_neon-vfpv4.ipk,10338256,6bc6cb2e9c5daea00821a7615f17c4162c224d247dbcc1a4b50388ebd774486d
zlib_1.3.1-r1_arm_cortex-a7_neon-vfpv4.ipk,38346,e6f929dec603dc5fd4aef295dac27130d1d8db4285760a9c70e88a80efdd5c75
